,name,code
0,CJ프레시웨이,051500.KQ
1,CSA 코스믹,083660.KQ
2,GH신소재,130500.KQ
3,GST,083450.KQ
4,GS홈쇼핑,028150.KQ
5,JW신약,067290.KQ
6,KB오토시스,024120.KQ
7,KG모빌리언스,046440.KQ
8,SK5호스팩,337450.KQ
9,SK6호스팩,340350.KQ
10,THE E&M,089230.KQ
11,TJ미디어,032540.KQ
12,YW,051390.KQ
13,갤럭시아컴즈,094480.KQ
14,경창산업,024910.KQ
15,고려시멘트,198440.KQ
16,골프존,215000.KQ
17,교보8호스팩,307280.KQ
18,국순당,043650.KQ
19,그리티,204020.KQ
20,나노브릭,286750.KQ
21,나스미디어,089600.KQ
22,네오티스,085910.KQ
23,네이처셀,007390.KQ
24,녹십자셀,031390.KQ
25,뉴인텍,012340.KQ
26,뉴프렉스,085670.KQ
27,다산네트웍스,039560.KQ
28,대봉엘에스,078140.KQ
29,대유에이피,290120.KQ
30,대주산업,003310.KQ
31,대한약품,023910.KQ
32,동구바이오제약,006620.KQ
33,동양파일,228340.KQ
34,두올산업,078590.KQ
35,디에이피,066900.KQ
36,디엔에프,092070.KQ
37,디오,039840.KQ
38,디지틀조선,033130.KQ
39,디케이앤디,263020.KQ
40,라이트론,069540.KQ
41,루미마이크로,082800.KQ
42,룽투코리아,060240.KQ
43,링크제니시스,219420.KQ
44,매일홀딩스,005990.KQ
45,메디톡스,086900.KQ
46,메탈라이프,327260.KQ
47,모비스,250060.KQ
48,모트렉스,118990.KQ
49,미스터블루,207760.KQ
50,바디텍메드,206640.KQ
51,바이넥스,053030.KQ
52,브이티지엠피,018290.KQ
53,삼보산업,009620.KQ
54,삼보판지,023600.KQ
55,삼본전자,111870.KQ
56,삼아제약,009300.KQ
57,상지카일룸,042940.KQ
58,서암기계공업,100660.KQ
59,성창오토텍,080470.KQ
60,세보엠이씨,011560.KQ
61,세종메디칼,258830.KQ
62,세코닉스,053450.KQ
63,센트럴바이오,051980.KQ
64,셀루메드,049180.KQ
65,셀바스헬스케어,208370.KQ
66,스페코,013810.KQ
67,승일,049830.KQ
68,심텍,222800.KQ
69,싸이토젠,217330.KQ
70,씨케이에이치,900120.KQ
71,아나패스,123860.KQ
72,아바텍,149950.KQ
73,아이센스,099190.KQ
74,아이씨디,040910.KQ
75,아이원스,114810.KQ
76,아이티센,124500.KQ
77,알리코제약,260660.KQ
78,알에프세미,096610.KQ
79,알에프텍,061040.KQ
80,알테오젠,196170.KQ
81,앤디포스,238090.KQ
82,에스아이리소스,065420.KQ
83,에스에프씨,112240.KQ
84,에스엔텍비엠,160600.KQ
85,에쎈테크,043340.KQ
86,에이티넘인베스트,021080.KQ
87,에코프로비엠,247540.KQ
88,엑세스바이오,950130.KQ
89,엑시콘,092870.KQ
90,엔바이오니아,317870.KQ
91,엔터메이트,206400.KQ
92,엔피케이,048830.KQ
93,엘앤케이바이오,156100.KQ
94,엠게임,058630.KQ
95,엠씨넥스,097520.KQ
96,영화테크,265560.KQ
97,오공,045060.KQ
98,오픈베이스,049480.KQ
99,옵티시스,109080.KQ
100,와이지-원,019210.KQ
101,우리바이오,082850.KQ
102,원익QnC,074600.KQ
103,원익큐브,014190.KQ
104,웨이브일렉트로,095270.KQ
105,웰크론,065950.KQ
106,위지트,036090.KQ
107,유니온커뮤니티,203450.KQ
108,유니테크노,241690.KQ
109,유신,054930.KQ
110,유안타제5호스팩,336060.KQ
111,유진스팩5호,331380.KQ
112,유진테크,084370.KQ
113,이스트소프트,047560.KQ
114,이엠넷,123570.KQ
115,이엠코리아,095190.KQ
116,이지웰,090850.KQ
117,인베니아,079950.KQ
118,인텍플러스,064290.KQ
119,정상제이엘에스,040420.KQ
120,제우스,079370.KQ
121,제이엠티,094970.KQ
122,제이웨이,058420.KQ
123,제일제강,023440.KQ
124,제주반도체,080220.KQ
125,젬백스,082270.KQ
126,조아제약,034940.KQ
127,주성엔지니어링,036930.KQ
128,지엔씨에너지,119850.KQ
129,지엔코,065060.KQ
130,지티지웰니스,219750.KQ
131,캐스텍코리아,071850.KQ
132,케이비제20호스팩,342550.KQ
133,케이피엠테크,042040.KQ
134,케이피티유,054410.KQ
135,켄코아에어로스페이스,274090.KQ
136,코렌,078650.KQ
137,코스온,069110.KQ
138,코썬바이오,204990.KQ
139,코프라,126600.KQ
