,name,code
0,DSR,155660.KS
1,GS,078930.KS
2,GS글로벌,001250.KS
3,HDC현대산업개발,294870.KS
4,LG이노텍,011070.KS
5,LG전자,066570.KS
6,LG헬로비전,037560.KS
7,OCI,010060.KS
8,S&TC,100840.KS
9,S&T모티브,064960.KS
10,SK네트웍스,001740.KS
11,SK이노베이션,096770.KS
12,STX,011810.KS
13,WISCOM,024070.KS
14,갤럭시아에스엠,011420.KS
15,경동인베스트,012320.KS
16,고려아연,010130.KS
17,국보,001140.KS
18,극동유화,014530.KS
19,까뮤이앤씨,013700.KS
20,남양유업,003920.KS
21,대영포장,014160.KS
22,대한해운,005880.KS
23,동아쏘시오홀딩스,000640.KS
24,동양,001520.KS
25,두산,000150.KS
26,락앤락,115390.KS
27,마니커,027740.KS
28,모두투어리츠,204210.KS
29,부국증권,001270.KS
30,삼성SDI,006400.KS
31,삼성바이오로직스,207940.KS
32,삼성출판사,068290.KS
33,삼성화재해상보험,000810.KS
34,삼양홀딩스,000070.KS
35,삼영전자공업,005680.KS
36,삼영화학공업,003720.KS
37,상상인증권,001290.KS
38,선도전기,007610.KS
39,선진,136490.KS
40,세방전지,004490.KS
41,세원셀론텍,091090.KS
42,신한알파리츠,293940.KS
43,신한지주,055550.KS
44,에넥스,011090.KS
45,에스원,012750.KS
46,영화금속,012280.KS
47,원림,005820.KS
48,인지컨트롤스,023800.KS
49,일성건설,013360.KS
50,제일약품,271980.KS
51,제일연마,001560.KS
52,제일파마홀딩스,002620.KS
53,제주항공,089590.KS
54,조흥,002600.KS
55,지역난방공사,071320.KS
56,진도,088790.KS
57,컨버즈,109070.KS
58,코오롱,002020.KS
59,코오롱인더,120110.KS
60,태경산업,015890.KS
61,태광산업,003240.KS
62,태양금속공업,004100.KS
63,포스코강판,058430.KS
64,포스코케미칼,003670.KS
65,폴루스바이오팜,007630.KS
66,필룩스,033180.KS
67,한국공항,005430.KS
68,한국제지,002300.KS
69,한국종합기술,023350.KS
70,한국철강,104700.KS
71,한국패러랠,168490.KS
72,한라홀딩스,060980.KS
73,한미약품,128940.KS
74,한솔로지스틱스,009180.KS
75,한일철강,002220.KS
76,한일현대시멘트,006390.KS
77,한창제지,009460.KS
78,한화갤러리아타임월드,027390.KS
79,한화생명,088350.KS
80,현대건설,000720.KS
81,현대건설기계,267270.KS
82,현대모비스,012330.KS
83,현대비앤지스틸,004560.KS
84,현대엘리베이터,017800.KS
85,현대차증권,001500.KS
86,현대홈쇼핑,057050.KS
87,호전실업,111110.KS
88,호텔신라,008770.KS
89,효성중공업,298040.KS
90,BGF리테일,282330.KS
91,CJ CGV,079160.KS
92,CJ대한통운,000120.KS
93,GKL,114090.KS
94,GS건설,006360.KS
95,KB금융,105560.KS
96,SG충방,001380.KS
97,SKC,011790.KS
98,금강공업,014280.KS
99,금호산업,002990.KS
100,금호전기,001210.KS
101,기업은행,024110.KS
102,대구백화점,006370.KS
103,대덕전자,008060.KS
104,대우건설,047040.KS
105,대원제약,003220.KS
106,대한방직,001070.KS
107,대한제강,084010.KS
108,대한제당,001790.KS
109,대현,016090.KS
110,덕양산업,024900.KS
111,동원금속,018500.KS
112,두산인프라코어,042670.KS
113,디씨엠,024090.KS
114,디티알오토모티브,007340.KS
115,롯데손해보험,000400.KS
116,롯데칠성음료,005300.KS
117,만도,204320.KS
118,미래에셋생명,085620.KS
119,미원홀딩스,107590.KS
120,백산,035150.KS
121,보락,002760.KS
122,사조대림,003960.KS
123,사조동아원,008040.KS
124,삼부토건,001470.KS
125,삼호,001880.KS
126,서원,021050.KS
127,세방,004360.KS
128,세아홀딩스,058650.KS
129,세이브존I&C,067830.KS
130,신송홀딩스,006880.KS
131,신일산업,002700.KS
132,써니전자,004770.KS
133,아시아나항공,020560.KS
134,아이마켓코리아,122900.KS
135,아이에이치큐,003560.KS
136,에이블씨엔씨,078520.KS
137,엔씨소프트,036570.KS
138,영보화학,014440.KS
139,영진약품,003520.KS
140,영풍,000670.KS
141,예스코홀딩스,015360.KS
142,유니온머티리얼,047400.KS
143,유성기업,002920.KS
144,유유제약,000220.KS
145,유한양행,000100.KS
146,이마트,139480.KS
147,이수화학,005950.KS
148,이스타코,015020.KS
149,일정실업,008500.KS
150,일진홀딩스,015860.KS
151,종근당,185750.KS
152,종근당홀딩스,001630.KS
153,지엠비코리아,013870.KS
154,케이씨텍,281820.KS
155,코리아써키트,007810.KS
156,코스모화학,005420.KS
157,코아스,071950.KS
158,코오롱머티리얼,144620.KS
159,코오롱플라스틱,138490.KS
160,쿠쿠홀딩스,192400.KS
161,큐로,015590.KS
162,태경화학,006890.KS
163,태영건설,009410.KS
164,티비에이치글로벌,084870.KS
165,하이트론씨스템즈,019490.KS
166,하이트진로,000080.KS
167,한국금융지주,071050.KS
168,한국전자홀딩스,006200.KS
169,한국테크놀로지그룹,000240.KS
170,한국토지신탁,034830.KS
171,한일시멘트,300720.KS
172,한전KPS,051600.KS
173,한화시스템,272210.KS
174,해태제과식품,101530.KS
175,현대에이치씨엔,126560.KS
176,현대위아,011210.KS
177,현대중공업지주,267250.KS
178,현대코퍼레이션홀딩스,227840.KS
179,화승인더스트리,006060.KS
180,화천기공,000850.KS
181,환인제약,016580.KS
182,효성,004800.KS
183,효성화학,298000.KS
184,AJ네트웍스,095570.KS
185,CJ,001040.KS
186,CJ제일제당,097950.KS
187,DRB동일,004840.KS
188,HDC아이콘트롤스,039570.KS
189,HMM,011200.KS
190,KPX케미칼,025000.KS
191,KTis,058860.KS
192,LG상사,001120.KS
193,MH에탄올,023150.KS
194,SBS,034120.KS
195,SBS미디어홀딩스,101060.KS
196,SK텔레콤,017670.KS
197,강원랜드,035250.KS
198,고려개발,004200.KS
199,교보증권,030610.KS
200,국동,005320.KS
201,국제약품,002720.KS
202,금양,001570.KS
203,금호에이치티,214330.KS
204,남해화학,025860.KS
205,넥센타이어,002350.KS
206,녹십자홀딩스,005250.KS
207,농심홀딩스,072710.KS
208,다스코,058730.KS
209,대웅제약,069620.KS
210,대한유화,006650.KS
211,더블유게임즈,192080.KS
212,더존비즈온,012510.KS
213,덕성,004830.KS
214,동방아그로,007590.KS
215,동서,026960.KS
216,동성코퍼레이션,102260.KS
217,동양생명,082640.KS
218,동원산업,006040.KS
219,두산퓨얼셀,336260.KS
220,드림텍,192650.KS
221,디아이,003160.KS
222,디와이,013570.KS
223,디피씨,026890.KS
224,롯데정밀화학,004000.KS
225,롯데정보통신,286940.KS
226,맥쿼리인프라,088980.KS
227,메타랩스,090370.KS
228,명문제약,017180.KS
229,모토닉,009680.KS
230,미원화학,134380.KS
231,범양건영,002410.KS
232,베트남개발1,096300.KS
233,빙그레,005180.KS
234,삼성에스디에스,018260.KS
235,삼성중공업,010140.KS
236,삼성증권,016360.KS
237,삼성카드,029780.KS
238,삼양통상,002170.KS
239,삼영무역,002810.KS
240,삼정펄프,009770.KS
241,샘표식품,248170.KS
242,성보화학,003080.KS
243,세아제강,306200.KS
244,센트랄모텍,308170.KS
245,송원산업,004430.KS
246,신성이엔지,011930.KS
247,신세계인터내셔날,031430.KS
248,신세계푸드,031440.KS
249,신영증권,001720.KS
250,신한,005450.KS
251,신화실업,001770.KS
252,아세아시멘트,183190.KS
253,에어부산,298690.KS
254,엔에이치엔,181710.KS
255,유니켐,011330.KS
256,유엔젤,072130.KS
257,유진증권,001200.KS
258,유화증권,003460.KS
259,이구산업,025820.KS
260,일성신약,003120.KS
261,제이에스코퍼레이션,194370.KS
262,조선선재,120030.KS
263,종근당바이오,063160.KS
264,진양화학,051630.KS
265,청호컴넷,012600.KS
266,케이탑리츠,145270.KS
267,코스모신소재,005070.KS
268,코웨이,021240.KS
269,태평양물산,007980.KS
270,테이팩스,055490.KS
271,텔코웨어,078000.KS
272,티웨이홀딩스,004870.KS
273,팜스코,036580.KS
274,퍼시스,016800.KS
275,풍산홀딩스,005810.KS
276,하나니켈1호,099340.KS
277,하이스틸,071090.KS
278,한국석유공업,004090.KS
279,한국수출포장공업,002200.KS
280,한국자산신탁,123890.KS
281,한국주강,025890.KS
282,한국콜마홀딩스,024720.KS
283,한샘,009240.KS
284,한솔홀딩스,004150.KS
285,한신기계공업,011700.KS
286,한화에어로스페이스,012450.KS
287,현대리바트,079430.KS
288,현대자동차,005380.KS
289,효성 ITX,094280.KS
290,휴니드테크놀러지스,005870.KS
291,DSR제강,069730.KS
292,JW중외제약,001060.KS
293,JW홀딩스,096760.KS
294,KG동부제철,016380.KS
295,KPX홀딩스,092230.KS
296,KSS해운,044450.KS
297,LF,093050.KS
298,LG하우시스,108670.KS
299,LG화학,051910.KS
300,LIG넥스원,079550.KS
301,LS,006260.KS
302,NAVER,035420.KS
303,NH투자증권,005940.KS
304,NI스틸,008260.KS
305,SH에너지화학,002360.KS
306,SK증권,001510.KS
307,SK하이닉스,000660.KS
308,경인양행,012610.KS
309,경인전자,009140.KS
310,기신정기,092440.KS
311,나노메딕스,074610.KS
312,남영비비안,002070.KS
313,녹십자,006280.KS
314,대교,019680.KS
315,대동전자,008110.KS
316,대림비앤코,005750.KS
317,대양금속,009190.KS
318,대창,012800.KS
319,동국제강,001230.KS
320,동화약품,000020.KS
321,두산솔루스,336370.KS
322,디아이동일,001530.KS
323,디아이씨,092200.KS
324,롯데관광개발,032350.KS
325,롯데케미칼,011170.KS
326,맵스리얼티1,094800.KS
327,무학,033920.KS
328,미래아이앤지,007120.KS
329,바다로19호,155900.KS
330,비티원,101140.KS
331,사조씨푸드,014710.KS
332,삼성물산,028260.KS
333,삼성전자,005930.KS
334,삼성제약,001360.KS
335,삼양식품,003230.KS
336,삼원강재,023000.KS
337,삼익THK,004380.KS
338,삼일제약,000520.KS
339,삼진제약,005500.KS
340,삼화왕관,004450.KS
341,서연이화,200880.KS
342,선창산업,002820.KS
343,성신양회,004980.KS
344,세기상사,002420.KS
345,세아특수강,019440.KS
346,세우글로벌,013000.KS
347,세원정공,021820.KS
348,세진중공업,075580.KS
349,셀트리온,068270.KS
350,신라교역,004970.KS
351,신성통상,005390.KS
352,신세계,004170.KS
353,신풍제약,019170.KS
354,아모레퍼시픽,090430.KS
355,아세아,002030.KS
356,아이에스동서,010780.KS
357,애경산업,018250.KS
358,에스제이엠,123700.KS
359,에이리츠,140910.KS
360,에이엔피,015260.KS
361,엔케이,085310.KS
362,엔피씨,004250.KS
363,엘브이엠씨,900140.KS
364,영원무역홀딩스,009970.KS
365,우리들휴브레인,118000.KS
366,우신시스템,017370.KS
367,우진,105840.KS
368,우진플라임,049800.KS
369,웅진에너지,103130.KS
370,유니드,014830.KS
371,이건산업,008250.KS
372,이연제약,102460.KS
373,이월드,084680.KS
374,인스코비,006490.KS
375,조광페인트,004910.KS
376,조비,001550.KS
377,조선내화,000480.KS
378,지누스,013890.KS
379,참엔지니어링,009310.KS
380,케이씨씨,002380.KS
381,케이씨씨글라스,344820.KS
382,코리아오토글라스,152330.KS
383,코오롱글로벌,003070.KS
384,쿠쿠홈시스,284740.KS
385,토니모리,214420.KS
386,페이퍼코리아,001020.KS
387,포스코,005490.KS
388,하나니켈2호,099350.KS
389,하나제약,293480.KS
390,한국특수형강,007280.KS
391,한국화장품제조,003350.KS
392,한미글로벌,053690.KS
393,한솔피엔에스,010420.KS
394,한양증권,001750.KS
395,한진중공업,097230.KS
396,한진중공업홀딩스,003480.KS
397,한화,000880.KS
398,한화솔루션,009830.KS
399,현대에너지솔루션,322000.KS
400,현대일렉트릭,267260.KS
401,현대제철,004020.KS
402,화천기계,010660.KS
403,황금에스티,032560.KS
404,CJ씨푸드,011150.KS
405,DB금융투자,016610.KS
406,DGB금융지주,139130.KS
407,E1,017940.KS
408,HDC현대EP,089470.KS
409,KC코트렐,119650.KS
410,KEC,092220.KS
411,KISCO홀딩스,001940.KS
412,LG,003550.KS
413,LG디스플레이,034220.KS
414,LS전선아시아,229640.KS
415,NH프라임리츠,338100.KS
416,S&T중공업,003570.KS
417,S&T홀딩스,036530.KS
418,S-Oil,010950.KS
419,계룡건설산업,013580.KS
420,고려제강,002240.KS
421,노루페인트,090350.KS
422,대상,001680.KS
423,대성홀딩스,016710.KS
424,대우조선해양,042660.KS
425,대호에이엘,069460.KS
426,덴티움,145720.KS
427,동북아13호선박투자,083380.KS
428,동원F&B,049770.KS
429,동일고무벨트,163560.KS
430,두산밥캣,241560.KS
431,두산중공업,034020.KS
432,롯데제과,280360.KS
433,만호제강,001080.KS
434,모나미,005360.KS
435,문배철강,008420.KS
436,미창석유공업,003650.KS
437,백광산업,001340.KS
438,벽산,007210.KS
439,부광약품,003000.KS
440,부국철강,026940.KS
441,부산도시가스,015350.KS
442,사조산업,007160.KS
443,삼성공조,006660.KS
444,삼성생명,032830.KS
445,삼성전기,009150.KS
446,삼양패키징,272550.KS
447,삼화전기,009470.KS
448,새론오토모티브,075180.KS
449,샘표,007540.KS
450,서연,007860.KS
451,서흥,008490.KS
452,수산중공업,017550.KS
453,신세계I&C,035510.KS
454,신세계건설,034300.KS
455,신영와코루,005800.KS
456,신원,009270.KS
457,신풍제지,002870.KS
458,아주캐피탈,033660.KS
459,에이프로젠 KIC,007460.KS
460,엘에스일렉트릭,010120.KS
461,오리온,271560.KS
462,우리금융지주,316140.KS
463,우성사료,006980.KS
464,웰바이오텍,010600.KS
465,유나이티드,033270.KS
466,유니온,000910.KS
467,유안타증권,003470.KS
468,인천도시가스,034590.KS
469,일동홀딩스,000230.KS
470,일진머티리얼즈,020150.KS
471,일진전기,103590.KS
472,잇츠한불,226320.KS
473,제이준코스메틱,025620.KS
474,조광피혁,004700.KS
475,조일알미늄,018470.KS
476,진흥기업,002780.KS
477,카카오,035720.KS
478,케이씨티시,009070.KS
479,케이티,030200.KS
480,코리안리,003690.KS
481,코스맥스비티아이,044820.KS
482,크라운제과,264900.KS
483,크라운해태홀딩스,005740.KS
484,태림포장,011280.KS
485,태원물산,001420.KS
486,티에이치엔,019180.KS
487,티탑스,030790.KS
488,팬오션,028670.KS
489,평화산업,090080.KS
490,하나투어,039130.KS
491,한국타이어앤테크놀로지,161390.KS
492,한국프랜지공업,010100.KS
493,한독,002390.KS
494,한세엠케이,069640.KS
495,한솔제지,213500.KS
496,한솔케미칼,014680.KS
497,한솔테크닉스,004710.KS
498,한온시스템,018880.KS
499,한전산업,130660.KS
500,한진,002320.KS
501,해성디에스,195870.KS
502,현대해상,001450.KS
503,형지엘리트,093240.KS
504,혜인,003010.KS
505,화성산업,002460.KS
506,화승엔터프라이즈,241590.KS
507,휠라홀딩스,081660.KS
508,휴비스,079980.KS
509,CS홀딩스,000590.KS
510,DB,012030.KS
511,DB손해보험,005830.KS
512,F&F,007700.KS
513,GS리테일,007070.KS
514,HDC,012630.KS
515,JW생명과학,234080.KS
516,KC그린홀딩스,009440.KS
517,KR모터스,000040.KS
518,LG유플러스,032640.KS
519,SG세계물산,004060.KS
520,SPC삼립,005610.KS
521,경농,002100.KS
522,경동도시가스,267290.KS
523,경방,000050.KS
524,광동제약,009290.KS
525,광주신세계,037710.KS
526,국도화학,007690.KS
527,금비,008870.KS
528,금호타이어,073240.KS
529,기아자동차,000270.KS
530,남성,004270.KS
531,넷마블,251270.KS
532,대림산업,000210.KS
533,대림통상,006570.KS
534,대신증권,003540.KS
535,대웅,003090.KS
536,대원강업,000430.KS
537,대원전선,006340.KS
538,대원화성,024890.KS
539,대유에이텍,002880.KS
540,동부건설,005960.KS
541,동북아12호선박투자,083370.KS
542,동성제약,002210.KS
543,동양고속,084670.KS
544,동양철관,008970.KS
545,동원수산,030720.KS
546,롯데쇼핑,023530.KS
547,롯데지주,004990.KS
548,메리츠화재,000060.KS
549,미원에스씨,268280.KS
550,백광소재,014580.KS
551,부산산업,011390.KS
552,비상교육,100220.KS
553,삼광글라스,005090.KS
554,삼성엔지니어링,028050.KS
555,삼익악기,002450.KS
556,삼천리,004690.KS
557,서울식품공업,004410.KS
558,성창기업지주,000180.KS
559,세종공업,033530.KS
560,세하,027970.KS
561,시디즈,134790.KS
562,신도리코,029530.KS
563,쌍용자동차,003620.KS
564,쎌마테라퓨틱스,015540.KS
565,씨아이테크,004920.KS
566,아모레퍼시픽그룹,002790.KS
567,아시아나IDT,267850.KS
568,알루코,001780.KS
569,에스제이엠홀딩스,025530.KS
570,엔에스쇼핑,138250.KS
571,오뚜기,007310.KS
572,윌비스,008600.KS
573,유양디앤유,011690.KS
574,이리츠코크렙,088260.KS
575,이수페타시스,007660.KS
576,이아이디,093230.KS
577,인디에프,014990.KS
578,인터지스,129260.KS
579,자이에스앤디,317400.KS
580,자화전자,033240.KS
581,전방,000950.KS
582,제이콘텐트리,036420.KS
583,제일기획,030000.KS
584,지투알,035000.KS
585,진양폴리우레탄,010640.KS
586,진원생명과학,011000.KS
587,콤텍시스템,031820.KS
588,키위미디어그룹,012170.KS
589,티웨이항공,091810.KS
590,퍼스텍,010820.KS
591,포스코인터내셔널,047050.KS
592,하이골드3호,153360.KS
593,한국ANKOR유전,152550.KS
594,한국내화,010040.KS
595,한국주철관공업,000970.KS
596,한국콜마,161890.KS
597,한국화장품,123690.KS
598,한라,014790.KS
599,한미반도체,042700.KS
600,한섬,020000.KS
601,한세실업,105630.KS
602,한솔홈데코,025750.KS
603,한올바이오파마,009420.KS
604,핸즈코퍼레이션,143210.KS
605,현대오토에버,307950.KS
606,화인베스틸,133820.KS
607,효성첨단소재,298050.KS
608,후성,093370.KS
609,휴스틸,005010.KS
610,흥아해운,003280.KS
611,AK홀딩스,006840.KS
612,BGF,027410.KS
613,BNK금융지주,138930.KS
614,DB하이텍,000990.KS
615,HSD엔진,082740.KS
616,KG케미칼,001390.KS
617,KTB투자증권,030210.KS
618,KTcs,058850.KS
619,LG생활건강,051900.KS
620,NICE,034310.KS
621,SIMPAC,009160.KS
622,SK가스,018670.KS
623,SK디앤디,210980.KS
624,SK렌터카,068400.KS
625,STX엔진,077970.KS
626,STX중공업,071970.KS
627,TCC스틸,002710.KS
628,가온전선,000500.KS
629,경보제약,214390.KS
630,계양전기,012200.KS
631,고려산업,002140.KS
632,광전자,017900.KS
633,남선알미늄,008350.KS
634,넥센,005720.KS
635,넥스트사이언스,003580.KS
636,농심,004370.KS
637,다우기술,023590.KS
638,대림씨엔에스,004440.KS
639,대성산업,128820.KS
640,대유플러스,000300.KS
641,대한전선,001440.KS
642,대한제분,001130.KS
643,대한항공,003490.KS
644,대한화섬,003830.KS
645,동남합성,023450.KS
646,동방,004140.KS
647,동아타이어,282690.KS
648,동양피스톤,092780.KS
649,동원시스템즈,014820.KS
650,디와이파워,210540.KS
651,롯데리츠,330590.KS
652,롯데하이마트,071840.KS
653,메리츠금융지주,138040.KS
654,무림P&P,009580.KS
655,미원상사,002840.KS
656,방림,003610.KS
657,보령제약,003850.KS
658,사조오양,006090.KS
659,삼아알미늄,006110.KS
660,삼양사,145990.KS
661,삼호개발,010960.KS
662,삼화전자공업,011230.KS
663,삼화페인트공업,000390.KS
664,성문전자,014910.KS
665,세아베스틸,001430.KS
666,세아제강지주,003030.KS
667,세화아이엠씨,145210.KS
668,쌍방울,102280.KS
669,쌍용양회공업,003410.KS
670,아남전자,008700.KS
671,아세아제지,002310.KS
672,에스엘,005850.KS
673,에쓰씨엔지니어링,023960.KS
674,엔케이물산,009810.KS
675,영원무역,111770.KS
676,영흥,012160.KS
677,오리엔트바이오,002630.KS
678,오리온홀딩스,001800.KS
679,용평리조트,070960.KS
680,웅진,016880.KS
681,유니퀘스트,077500.KS
682,일동제약,249420.KS
683,일신석재,007110.KS
684,일양약품,007570.KS
685,일진다이아,081000.KS
686,주연테크,044380.KS
687,지코,010580.KS
688,진양산업,003780.KS
689,진에어,272450.KS
690,체시스,033250.KS
691,케이비아이동국실업,001620.KS
692,케이씨,029460.KS
693,케이티스카이라이프,053210.KS
694,키움증권,039490.KS
695,파미셀,005690.KS
696,평화홀딩스,010770.KS
697,풀무원,017810.KS
698,하이트진로홀딩스,000140.KS
699,한국단자공업,025540.KS
700,한국쉘석유,002960.KS
701,한국조선해양,009540.KS
702,한국카본,017960.KS
703,한농화성,011500.KS
704,한미사이언스,008930.KS
705,한신공영,004960.KS
706,한익스프레스,014130.KS
707,한전기술,052690.KS
708,한진칼,180640.KS
709,한화투자증권,003530.KS
710,현대글로비스,086280.KS
711,화승알앤에이,013520.KS
712,효성티앤씨,298020.KS
713,BYC,001460.KS
714,JB금융지주,175330.KS
715,LS네트웍스,000680.KS
716,SK,034730.KS
717,SK디스커버리,006120.KS
718,SK케미칼,285130.KS
719,YG PLUS,037270.KS
720,강남제비스코,000860.KS
721,경동나비엔,009450.KS
722,광명전기,017040.KS
723,그린케미칼,083420.KS
724,금호석유화학,011780.KS
725,깨끗한나라,004540.KS
726,남광토건,001260.KS
727,노루홀딩스,000320.KS
728,대동공업,000490.KS
729,대상홀딩스,084690.KS
730,대성에너지,117580.KS
731,대우부품,009320.KS
732,대창단조,015230.KS
733,도화엔지니어링,002150.KS
734,동성화학,005190.KS
735,동아에스티,170900.KS
736,동아지질,028100.KS
737,동양물산기업,002900.KS
738,동일산업,004890.KS
739,동일제강,002690.KS
740,두올,016740.KS
741,롯데푸드,002270.KS
742,메리츠종금증권,008560.KS
743,모나리자,012690.KS
744,무림페이퍼,009200.KS
745,미래산업,025560.KS
746,미래에셋대우,006800.KS
747,보해양조,000890.KS
748,부산주공,005030.KS
749,삼화콘덴서공업,001820.KS
750,상신브레이크,041650.KS
751,서울도시가스,017390.KS
752,성안,011300.KS
753,신대양제지,016590.KS
754,신흥,004080.KS
755,씨에스윈드,112610.KS
756,애경유화,161000.KS
757,에이프로젠제약,003060.KS
758,영풍제지,006740.KS
759,우리들제약,004720.KS
760,우리종금,010050.KS
761,우진아이엔에스,010400.KS
762,웅진씽크빅,095720.KS
763,유수홀딩스,000700.KS
764,율촌화학,008730.KS
765,이노션,214320.KS
766,이화산업,000760.KS
767,인팩,023810.KS
768,일신방직,003200.KS
769,일진디스플,020760.KS
770,제주은행,006220.KS
771,진양홀딩스,100250.KS
772,천일고속,000650.KS
773,카프로,006380.KS
774,케이티앤지,033780.KS
775,코스맥스,192820.KS
776,키다리스튜디오,020120.KS
777,풍산,103140.KS
778,하나금융지주,086790.KS
779,하이골드12호,172580.KS
780,하이골드8호,159650.KS
781,한국가스공사,036460.KS
782,한국전력공사,015760.KS
783,한국항공우주,047810.KS
784,한성기업,003680.KS
785,한세예스24홀딩스,016450.KS
786,한일홀딩스,003300.KS
787,한창,005110.KS
788,한화손해보험,000370.KS
789,현대그린푸드,005440.KS
790,현대로템,064350.KS
791,현대미포조선,010620.KS
792,현대백화점,069960.KS
793,현대약품,004310.KS
794,현대종합상사,011760.KS
795,화신,010690.KS
796,휴켐스,069260.KS
797,흥국화재,000540.KS
