,index,date,close,diff,open,high,low,volume
0,0,2014.07.04,4025.0,525.0,3800.0,4025.0,3800.0,400.0
1,1,2014.07.07,4600.0,575.0,4600.0,4600.0,4600.0,200.0
2,2,2014.07.08,5000.0,400.0,4350.0,5000.0,4350.0,600.0
3,3,2014.07.09,5490.0,490.0,5490.0,5490.0,5490.0,100.0
4,4,2014.07.10,5180.0,310.0,5180.0,5180.0,5180.0,400.0
5,5,2014.07.11,4410.0,770.0,4410.0,4410.0,4410.0,100.0
6,6,2014.07.14,4995.0,585.0,4165.0,4995.0,4165.0,400.0
7,7,2014.07.15,5720.0,725.0,5720.0,5720.0,5720.0,100.0
8,8,2014.07.16,5400.0,320.0,5400.0,5400.0,5400.0,200.0
9,9,2014.07.17,5350.0,50.0,5100.0,5350.0,5100.0,300.0
10,10,2014.07.18,5950.0,600.0,5950.0,5950.0,5950.0,100.0
11,11,2014.07.21,6500.0,550.0,6500.0,6500.0,6500.0,100.0
12,12,2014.07.22,5530.0,970.0,5530.0,5530.0,5530.0,100.0
13,13,2014.07.23,4710.0,820.0,4710.0,4710.0,4710.0,100.0
14,14,2014.07.24,5390.0,680.0,4710.0,5390.0,4710.0,200.0
15,15,2014.07.25,6100.0,710.0,5090.0,6100.0,4590.0,1500.0
16,16,2014.07.28,5190.0,910.0,5190.0,5190.0,5190.0,100.0
17,17,2014.07.29,5750.0,560.0,5940.0,5940.0,4420.0,400.0
18,18,2014.07.30,4890.0,860.0,4890.0,4890.0,4890.0,500.0
19,19,2014.07.31,5240.0,350.0,4890.0,5240.0,4890.0,200.0
20,20,2014.08.01,5140.0,100.0,4740.0,5140.0,4740.0,400.0
21,21,2014.08.04,4740.0,400.0,4740.0,4740.0,4740.0,300.0
22,22,2014.08.05,4740.0,0.0,4740.0,4740.0,4740.0,300.0
23,23,2014.08.06,4890.0,150.0,4740.0,4890.0,4500.0,1800.0
24,24,2014.08.07,5200.0,310.0,5000.0,5200.0,5000.0,4900.0
25,25,2014.08.08,5490.0,290.0,5200.0,5500.0,4800.0,9200.0
26,26,2014.08.11,5890.0,400.0,5490.0,5890.0,5490.0,11500.0
27,27,2014.08.12,5830.0,60.0,5040.0,5830.0,5040.0,300.0
28,28,2014.08.13,5830.0,0.0,5690.0,5830.0,5000.0,11300.0
29,29,2014.08.14,5480.0,350.0,5830.0,5830.0,4960.0,6600.0
30,30,2014.08.18,5000.0,480.0,5000.0,5000.0,5000.0,5200.0
31,31,2014.08.19,5380.0,380.0,5380.0,5380.0,5380.0,200.0
32,32,2014.08.20,5080.0,300.0,5080.0,5080.0,5080.0,200.0
33,33,2014.08.21,5000.0,80.0,5080.0,5080.0,4500.0,2100.0
34,34,2014.08.22,4750.0,250.0,4750.0,4750.0,4750.0,300.0
35,35,2014.08.25,5300.0,550.0,5000.0,5300.0,5000.0,1700.0
36,36,2014.08.26,5100.0,200.0,5100.0,5100.0,5100.0,300.0
37,37,2014.08.27,4900.0,200.0,4900.0,4900.0,4900.0,0.0
38,38,2014.08.28,4990.0,90.0,4990.0,4990.0,4990.0,400.0
39,39,2014.08.29,4450.0,540.0,4900.0,4900.0,4450.0,1300.0
40,40,2014.09.01,5040.0,590.0,4000.0,5040.0,4000.0,3800.0
41,41,2014.09.02,5030.0,10.0,5000.0,5030.0,4990.0,2500.0
42,42,2014.09.03,4805.0,225.0,4805.0,4805.0,4805.0,420.0
43,43,2014.09.04,4805.0,0.0,4805.0,4805.0,4805.0,300.0
44,44,2014.09.05,4975.0,170.0,4975.0,4975.0,4500.0,500.0
45,45,2014.09.11,4975.0,0.0,4975.0,4975.0,4975.0,330.0
46,46,2014.09.12,4800.0,175.0,4800.0,4800.0,4800.0,200.0
47,47,2014.09.15,5150.0,350.0,4400.0,5150.0,4400.0,6200.0
48,48,2014.09.16,4790.0,360.0,4400.0,4880.0,4400.0,3900.0
49,49,2014.09.17,4790.0,0.0,5000.0,5000.0,4790.0,740.0
50,50,2014.09.18,4075.0,715.0,4500.0,4600.0,4075.0,9300.0
51,51,2014.09.19,4200.0,125.0,4200.0,4200.0,4200.0,100.0
52,52,2014.09.22,4300.0,100.0,4300.0,4300.0,4300.0,200.0
53,53,2014.09.23,4300.0,0.0,4300.0,4300.0,4300.0,0.0
54,54,2014.09.24,4470.0,170.0,4000.0,4470.0,4000.0,600.0
55,55,2014.09.25,3800.0,670.0,3800.0,3800.0,3800.0,2700.0
56,56,2014.09.26,4200.0,400.0,4200.0,4200.0,4200.0,500.0
57,57,2014.09.29,3570.0,630.0,3750.0,3750.0,3570.0,3000.0
58,58,2014.09.30,4105.0,535.0,3870.0,4105.0,3870.0,610.0
59,59,2014.10.01,4000.0,105.0,4000.0,4000.0,4000.0,800.0
60,60,2014.10.02,4490.0,490.0,4000.0,4490.0,4000.0,600.0
61,61,2014.10.06,4990.0,500.0,4990.0,4990.0,4990.0,200.0
62,62,2014.10.07,4245.0,745.0,4245.0,4245.0,4245.0,600.0
63,63,2014.10.08,4225.0,20.0,3610.0,4225.0,3610.0,5600.0
64,64,2014.10.10,3995.0,230.0,3995.0,3995.0,3995.0,400.0
65,65,2014.10.13,3400.0,595.0,3400.0,3400.0,3400.0,3600.0
66,66,2014.10.14,3470.0,70.0,3470.0,3470.0,3470.0,100.0
67,67,2014.10.15,3540.0,70.0,3540.0,3540.0,3540.0,100.0
68,68,2014.10.16,3890.0,350.0,3890.0,3890.0,3890.0,500.0
69,69,2014.10.17,4000.0,110.0,3800.0,4000.0,3800.0,2000.0
70,70,2014.10.20,3900.0,100.0,3900.0,3900.0,3900.0,400.0
71,71,2014.10.21,3890.0,10.0,3890.0,3890.0,3890.0,400.0
72,72,2014.10.22,3875.0,15.0,3875.0,3875.0,3875.0,0.0
73,73,2014.10.23,3890.0,15.0,3890.0,3890.0,3890.0,300.0
74,74,2014.10.24,3400.0,490.0,3400.0,3795.0,3400.0,6300.0
75,75,2014.10.27,3500.0,100.0,3500.0,3500.0,3500.0,300.0
76,76,2014.10.28,3800.0,300.0,3700.0,3800.0,3700.0,4100.0
77,77,2014.10.29,3990.0,190.0,3585.0,3990.0,3585.0,400.0
