,index,date,close,diff,open,high,low,volume
0,0,2007.06.19,1150.0,0.0,1150.0,1150.0,1150.0,0.0
1,1,2007.06.20,1150.0,0.0,1150.0,1150.0,1150.0,0.0
2,2,2007.06.21,1150.0,0.0,1150.0,1150.0,1150.0,0.0
3,3,2007.06.22,1150.0,0.0,1150.0,1150.0,1150.0,0.0
4,4,2007.06.25,1150.0,0.0,1150.0,1150.0,1150.0,0.0
5,5,2007.06.26,1020.0,130.0,1320.0,1320.0,1020.0,7545304.0
6,6,2007.06.27,1070.0,50.0,1060.0,1165.0,1020.0,3968885.0
7,7,2007.06.28,1025.0,45.0,1100.0,1110.0,1020.0,1561315.0
8,8,2007.06.29,1000.0,25.0,1020.0,1040.0,995.0,1050422.0
9,9,2007.07.02,950.0,50.0,1000.0,1000.0,940.0,1278891.0
10,10,2007.07.03,920.0,30.0,950.0,960.0,910.0,913661.0
11,11,2007.07.04,935.0,15.0,920.0,950.0,920.0,637611.0
12,12,2007.07.05,915.0,20.0,935.0,935.0,910.0,535526.0
13,13,2007.07.06,915.0,0.0,930.0,930.0,900.0,862910.0
14,14,2007.07.09,920.0,5.0,920.0,930.0,905.0,324090.0
15,15,2007.07.10,920.0,0.0,920.0,930.0,915.0,294138.0
16,16,2007.07.11,925.0,5.0,920.0,925.0,915.0,170202.0
17,17,2007.07.12,920.0,5.0,930.0,930.0,915.0,253460.0
18,18,2007.07.13,920.0,0.0,920.0,930.0,910.0,277351.0
19,19,2007.07.16,915.0,5.0,905.0,920.0,905.0,239170.0
20,20,2007.07.18,915.0,0.0,915.0,915.0,905.0,177510.0
21,21,2007.07.19,910.0,5.0,910.0,920.0,900.0,160540.0
22,22,2007.07.20,905.0,5.0,905.0,915.0,900.0,146280.0
23,23,2007.07.23,900.0,5.0,900.0,910.0,900.0,173730.0
24,24,2007.07.24,905.0,5.0,900.0,910.0,900.0,151460.0
25,25,2007.07.25,915.0,10.0,905.0,925.0,905.0,121595.0
26,26,2007.07.26,910.0,5.0,920.0,920.0,910.0,120860.0
27,27,2007.07.27,910.0,0.0,910.0,920.0,900.0,119990.0
28,28,2007.07.30,910.0,0.0,930.0,930.0,905.0,70500.0
29,29,2007.07.31,910.0,0.0,910.0,915.0,905.0,49540.0
30,30,2007.08.01,905.0,5.0,910.0,920.0,905.0,57760.0
31,31,2007.08.02,900.0,5.0,905.0,915.0,900.0,63310.0
32,32,2007.08.03,905.0,5.0,900.0,910.0,900.0,40240.0
33,33,2007.08.06,920.0,15.0,915.0,950.0,890.0,245280.0
34,34,2007.08.07,920.0,0.0,925.0,930.0,910.0,75500.0
35,35,2007.08.08,925.0,5.0,920.0,925.0,915.0,46109.0
36,36,2007.08.09,920.0,5.0,925.0,925.0,910.0,52818.0
37,37,2007.08.10,915.0,5.0,920.0,920.0,905.0,95040.0
38,38,2007.08.13,915.0,0.0,915.0,915.0,905.0,60140.0
39,39,2007.08.14,910.0,5.0,910.0,915.0,900.0,56770.0
40,40,2007.08.16,880.0,30.0,895.0,910.0,860.0,220410.0
41,41,2007.08.17,870.0,10.0,875.0,890.0,865.0,78180.0
42,42,2007.08.20,880.0,10.0,885.0,900.0,870.0,40670.0
43,43,2007.08.21,880.0,0.0,885.0,890.0,875.0,25460.0
44,44,2007.08.22,890.0,10.0,885.0,915.0,875.0,46750.0
45,45,2007.08.23,890.0,0.0,895.0,895.0,890.0,36740.0
46,46,2007.08.24,895.0,5.0,890.0,900.0,885.0,13310.0
47,47,2007.08.27,895.0,0.0,895.0,900.0,885.0,10760.0
48,48,2007.08.28,895.0,0.0,890.0,895.0,880.0,46740.0
49,49,2007.08.29,900.0,5.0,885.0,900.0,865.0,87820.0
50,50,2007.08.30,900.0,0.0,900.0,905.0,895.0,25190.0
51,51,2007.08.31,885.0,15.0,890.0,900.0,885.0,6050.0
52,52,2007.09.03,895.0,10.0,880.0,900.0,880.0,50847.0
53,53,2007.09.04,900.0,5.0,910.0,910.0,890.0,14230.0
54,54,2007.09.05,900.0,0.0,890.0,905.0,890.0,31640.0
55,55,2007.09.06,895.0,5.0,900.0,950.0,895.0,115670.0
56,56,2007.09.07,900.0,5.0,890.0,900.0,885.0,49580.0
57,57,2007.09.10,895.0,5.0,900.0,900.0,885.0,29880.0
58,58,2007.09.11,895.0,0.0,890.0,895.0,870.0,66220.0
59,59,2007.09.12,900.0,5.0,895.0,905.0,890.0,39770.0
60,60,2007.09.13,895.0,5.0,885.0,900.0,885.0,15100.0
61,61,2007.09.14,905.0,10.0,895.0,905.0,890.0,38300.0
62,62,2007.09.17,905.0,0.0,905.0,905.0,885.0,76180.0
63,63,2007.09.18,905.0,0.0,905.0,905.0,895.0,69880.0
64,64,2007.09.19,900.0,5.0,905.0,910.0,890.0,58874.0
65,65,2007.09.20,895.0,5.0,905.0,905.0,885.0,14650.0
66,66,2007.09.21,900.0,5.0,895.0,900.0,890.0,12440.0
67,67,2007.09.27,900.0,0.0,905.0,905.0,885.0,38280.0
68,68,2007.09.28,900.0,0.0,900.0,905.0,890.0,16960.0
69,69,2007.10.01,895.0,5.0,905.0,905.0,895.0,16250.0
70,70,2007.10.02,890.0,5.0,900.0,905.0,890.0,52958.0
71,71,2007.10.04,890.0,0.0,895.0,905.0,890.0,69831.0
72,72,2007.10.05,900.0,10.0,900.0,900.0,890.0,83240.0
73,73,2007.10.08,895.0,5.0,890.0,900.0,885.0,66020.0
74,74,2007.10.09,885.0,10.0,890.0,895.0,875.0,69590.0
75,75,2007.10.10,885.0,0.0,880.0,895.0,880.0,30280.0
76,76,2007.10.11,880.0,5.0,885.0,895.0,865.0,74690.0
77,77,2007.10.12,885.0,5.0,870.0,885.0,870.0,30480.0
78,78,2007.10.15,880.0,5.0,885.0,885.0,865.0,60030.0
79,79,2007.10.16,860.0,20.0,875.0,875.0,855.0,47120.0
80,80,2007.10.17,860.0,0.0,850.0,870.0,850.0,32830.0
81,81,2007.10.18,870.0,10.0,860.0,880.0,860.0,7897.0
82,82,2007.10.19,870.0,0.0,870.0,870.0,855.0,3710.0
83,83,2007.10.22,860.0,10.0,845.0,880.0,830.0,38780.0
84,84,2007.10.23,860.0,0.0,860.0,865.0,850.0,17333.0
85,85,2007.10.24,845.0,15.0,850.0,875.0,845.0,17970.0
86,86,2007.10.25,875.0,30.0,840.0,900.0,840.0,28290.0
87,87,2007.10.26,870.0,5.0,860.0,875.0,845.0,13750.0
88,88,2007.10.29,855.0,15.0,845.0,870.0,840.0,47681.0
89,89,2007.10.30,860.0,5.0,855.0,860.0,850.0,15040.0
90,90,2007.10.31,900.0,40.0,850.0,900.0,840.0,69181.0
91,91,2007.11.01,865.0,35.0,885.0,920.0,855.0,170430.0
92,92,2007.11.02,865.0,0.0,865.0,870.0,850.0,7140.0
93,93,2007.11.05,845.0,20.0,865.0,870.0,845.0,34140.0
94,94,2007.11.06,855.0,10.0,860.0,860.0,845.0,27120.0
95,95,2007.11.07,850.0,5.0,860.0,865.0,850.0,35850.0
96,96,2007.11.08,850.0,0.0,855.0,860.0,845.0,18750.0
97,97,2007.11.09,855.0,5.0,850.0,855.0,840.0,27020.0
98,98,2007.11.12,840.0,15.0,855.0,855.0,835.0,108870.0
99,99,2007.11.13,840.0,0.0,840.0,850.0,835.0,27990.0
100,100,2007.11.14,840.0,0.0,840.0,845.0,830.0,31844.0
101,101,2007.11.15,855.0,15.0,850.0,860.0,840.0,40753.0
102,102,2007.11.16,850.0,5.0,870.0,870.0,845.0,41130.0
103,103,2007.11.19,850.0,0.0,855.0,860.0,850.0,3980.0
104,104,2007.11.20,855.0,5.0,850.0,855.0,840.0,39930.0
105,105,2007.11.21,850.0,5.0,855.0,860.0,840.0,14670.0
106,106,2007.11.22,840.0,10.0,845.0,850.0,835.0,25750.0
107,107,2007.11.23,835.0,5.0,850.0,850.0,835.0,6710.0
